extension;used;used-in-cabal;explicit-per-module-use
ImplicitPrelude;0;1;0
NoMonoLocalBinds;0;1;0
NoRebindableSyntax;0;1;0
NoMagicHash;0;2;0
NoOverloadedLists;0;3;0
StarIsType;0;5;0
RelaxedPolyRec;0;11;0
ForeignFunctionInterface;0;57;0
DoAndIfThenElse;0;66;0
PatternGuards;0;195;0
EmptyDataDecls;0;218;0
ParallelArrays;1;0;0
HexFloatLiterals;1;0;0
NoForeignFunctionInterface;1;0;0
NoDatatypeContexts;1;0;0
CUSKs;1;0;1
UnliftedNewtypes;2;0;0
TransformListComp;5;0;0
EmptyDataDeriving;5;0;1
NullaryTypeClasses;6;0;0
NumericUnderscores;10;3;1
StandaloneKindSignatures;11;0;3
InterruptibleFFI;11;0;5
UnboxedSums;12;0;3
NamedWildCards;12;12;0
StaticPointers;13;0;2
GHCForeignImportPrim;17;0;2
CApiFFI;18;1;1
GADTSyntax;19;4;0
PostfixOperators;19;5;1
JavaScriptFFI;22;0;1
AutoDeriveTypeable;24;0;4
NondecreasingIndentation;27;10;2
NumDecimals;27;12;3
MonadFailDesugaring;32;31;0
TemplateHaskellQuotes;34;2;6
ConstrainedClassMethods;41;3;4
NegativeLiterals;42;25;3
NoStarIsType;44;5;3
DisambiguateRecordFields;48;15;4
Strict;49;18;7
UnliftedFFITypes;50;1;5
BlockArguments;64;25;3
MonadComprehensions;64;44;3
QuantifiedConstraints;67;11;14
DerivingVia;68;17;12
ExplicitNamespaces;81;4;16
DeriveLift;83;27;3
BinaryLiterals;86;54;0
RoleAnnotations;87;10;12
UndecidableSuperClasses;91;6;21
ExtendedDefaultRules;91;7;12
MonoLocalBinds;97;12;16
ImpredicativeTypes;97;21;14
RebindableSyntax;97;24;10
OverloadedLabels;97;39;6
ExplicitForAll;105;15;13
ApplicativeDo;105;39;15
TypeFamilyDependencies;109;35;16
StrictData;109;56;21
IncoherentInstances;120;1;15
RecursiveDo;120;26;10
ImplicitParams;123;9;23
TypeInType;163;23;23
DerivingStrategies;168;52;24
EmptyCase;175;86;12
LiberalTypeSynonyms;185;147;5
DuplicateRecordFields;189;62;37
OverloadedLists;191;18;36
PartialTypeSignatures;200;103;19
ParallelListComp;209;138;5
PackageImports;235;45;19
Arrows;239;139;6
OverlappingInstances;271;7;27
UnicodeSyntax;290;113;4
UnboxedTuples;361;131;15
DeriveAnyClass;373;39;77
AllowAmbiguousTypes;406;46;70
InstanceSigs;418;178;25
PatternSynonyms;434;100;57
MultiWayIf;532;272;37
NoMonomorphismRestriction;584;177;46
MagicHash;595;144;36
DeriveFoldable;630;305;37
NamedFieldPuns;657;160;44
DeriveTraversable;707;313;43
PolyKinds;753;178;59
DefaultSignatures;770;304;69
TypeApplications;868;228;81
ExistentialQuantification;926;107;92
QuasiQuotes;971;227;114
ViewPatterns;975;162;89
KindSignatures;1002;196;64
NoImplicitPrelude;1106;481;40
FunctionalDependencies;1241;356;89
ConstraintKinds;1245;432;106
DeriveFunctor;1269;405;103
TypeSynonymInstances;1358;135;120
StandaloneDeriving;1406;426;102
TupleSections;1422;430;118
GADTs;1791;398;130
DataKinds;1838;449;126
BangPatterns;1871;353;117
UndecidableInstances;1935;110;253
LambdaCase;2015;556;78
TypeOperators;2016;446;94
RecordWildCards;2361;451;146
DeriveGeneric;2395;463;187
TemplateHaskell;2452;303;276
GeneralizedNewtypeDeriving;2581;497;231
DeriveDataTypeable;2719;376;122
RankNTypes;2918;504;194
CPP;3186;156;317
TypeFamilies;3214;531;181
MultiParamTypeClasses;3235;595;180
ScopedTypeVariables;3990;658;230
FlexibleContexts;4000;728;228
FlexibleInstances;4650;735;258
OverloadedStrings;5222;860;189
