extension,since,path,category
AllowAmbiguousTypes,7.8.1,exts/ambiguous_types.rst,Type signatures
ApplicativeDo,8.0.1,exts/applicative_do.rst,Syntax
Arrows,6.8.1,exts/arrows.rst,Syntax
BangPatterns,6.8.1,exts/strict.rst,Bang patterns and Strict Haskell
BinaryLiterals,7.10.1,exts/binary_literals.rst,Literals
BlockArguments,8.6.1,exts/block_arguments.rst,Syntax
CApiFFI,7.10.1,exts/ffi.rst,Foreign function interface (FFI)
CPP,6.8.1,phases.rst,Options related to a particular phase
CUSKs,8.10.1,exts/poly_kinds.rst,Types
ConstrainedClassMethods,6.8.1,exts/constrained_class_methods.rst,Class and instances declarations
ConstraintKinds,7.4.1,exts/constraint_kind.rst,Constraints
DataKinds,7.4.1,exts/data_kinds.rst,Types
DatatypeContexts,7.0.1,exts/datatype_contexts.rst,Types
DefaultSignatures,7.2.1,exts/default_signatures.rst,Class and instances declarations
DeriveAnyClass,7.10.1,exts/derive_any_class.rst,Deriving mechanism
DeriveDataTypeable,6.8.1,exts/deriving_extra.rst,Deriving mechanism
DeriveFoldable,7.10.1,exts/deriving_extra.rst,Deriving mechanism
DeriveFunctor,7.10.1,exts/deriving_extra.rst,Deriving mechanism
DeriveGeneric,7.2.1,exts/generics.rst,Miscellaneous
DeriveLift,8.0.1,exts/deriving_extra.rst,Deriving mechanism
DeriveTraversable,7.10.1,exts/deriving_extra.rst,Deriving mechanism
DerivingStrategies,8.2.1,exts/deriving_strategies.rst,Deriving mechanism
DerivingVia,8.6.1,exts/deriving_via.rst,Deriving mechanism
DisambiguateRecordFields,6.8.1,exts/disambiguate_record_fields.rst,Records
DuplicateRecordFields,8.0.1,exts/duplicate_record_fields.rst,Records
EmptyCase,7.8.1,exts/empty_case.rst,Syntax
EmptyDataDecls,6.8.1,exts/nullary_types.rst,Types
EmptyDataDeriving,8.4.1,exts/empty_data_deriving.rst,Deriving mechanism
ExistentialQuantification,6.8.1,exts/existential_quantification.rst,Types
ExplicitForAll,6.12.1,exts/explicit_forall.rst,Type signatures
